"","Site","Plot","richness","area","source.diversity.trt","species.richness.trt"
"198","Duck Lake","Plot4",18,5,"Midwest","Low"
"199","Field Lab","Plot4",18,5,"Local","High"
"200","Field Lab","Plot4",9,5,"Local","Low"
"201","No Till","Plot4",17,5,"Southern","High"
"202","No Till","Plot4",18,5,"Southern","Low"
"203","Pothole","Plot4",23,5,"High","High"
"204","Pothole","Plot4",15,5,"High","Low"
"205","Reed Canary","Plot4",25,5,"High","High"
"206","Reed Canary","Plot4",15,5,"High","Low"
"207","Soil Pit","Plot4",21,5,"Midwest","High"
"208","Soil Pit","Plot4",20,5,"Midwest","Low"
"209","Spruce Lodge","Plot4",12,5,"High","Low"
"210","Spruce Lodge","Plot4",23,5,"High","High"
"211","Succession","Plot4",20,5,"Local","High"
"212","Succession","Plot4",24,5,"Local","Low"
"213","Water Tower","Plot4",15,5,"High","Low"
"214","Water Tower","Plot4",9,5,"High","High"
"215","Wetland","Plot4",5,5,"High","High"
"216","Wetland","Plot4",20,5,"High","Low"
"217","Barn N","Plot5",6,5,"Southern","Low"
"218","Barn N","Plot5",5,5,"Southern","High"
"219","Barn South","Plot5",8,5,"High","Low"
"220","Barn South","Plot5",5,5,"High","High"
"221","Duck Lake","Plot5",23,5,"Midwest","High"
"222","Duck Lake","Plot5",14,5,"Midwest","Low"
"223","Field Lab","Plot5",15,5,"Local","High"
"224","Field Lab","Plot5",7,5,"Local","Low"
"225","No Till","Plot5",17,5,"Southern","High"
"226","No Till","Plot5",15,5,"Southern","Low"
"227","Pothole","Plot5",20,5,"High","High"
"228","Pothole","Plot5",16,5,"High","Low"
"229","Reed Canary","Plot5",29,5,"High","High"
"230","Reed Canary","Plot5",8,5,"High","Low"
"231","Soil Pit","Plot5",17,5,"Midwest","High"
"232","Soil Pit","Plot5",16,5,"Midwest","Low"
"233","Spruce Lodge","Plot5",14,5,"High","Low"
"234","Spruce Lodge","Plot5",14,5,"High","High"
"235","Succession","Plot5",26,5,"Local","High"
"236","Succession","Plot5",18,5,"Local","Low"
"237","Water Tower","Plot5",16,5,"High","Low"
"238","Water Tower","Plot5",17,5,"High","High"
"239","Wetland","Plot5",14,5,"High","High"
"240","Wetland","Plot5",17,5,"High","Low"
"241","Barn N","Plot1",26,25,"Southern","Low"
"242","Barn N","Plot1",17,25,"Southern","High"
"243","Barn South","Plot1",25,25,"High","Low"
"244","Barn South","Plot1",19,25,"High","High"
"245","Duck Lake","Plot1",39,25,"Midwest","High"
"246","Duck Lake","Plot1",40,25,"Midwest","Low"
"247","Field Lab","Plot1",33,25,"Local","High"
"248","Field Lab","Plot1",20,25,"Local","Low"
"249","No Till","Plot1",35,25,"Southern","High"
"250","No Till","Plot1",37,25,"Southern","Low"
"251","Pothole","Plot1",35,25,"High","High"
"252","Pothole","Plot1",32,25,"High","Low"
"253","Reed Canary","Plot1",47,25,"High","High"
"254","Reed Canary","Plot1",33,25,"High","Low"
"255","Soil Pit","Plot1",34,25,"Midwest","High"
"256","Soil Pit","Plot1",36,25,"Midwest","Low"
"257","Spruce Lodge","Plot1",30,25,"High","Low"
"258","Spruce Lodge","Plot1",35,25,"High","High"
"259","Succession","Plot1",52,25,"Local","High"
"260","Succession","Plot1",47,25,"Local","Low"
"261","Water Tower","Plot1",37,25,"High","Low"
"262","Water Tower","Plot1",33,25,"High","High"
"263","Wetland","Plot1",21,25,"High","High"
"264","Wetland","Plot1",36,25,"High","Low"
"265","Barn N","Plot2",26,25,"Southern","Low"
"266","Barn N","Plot2",17,25,"Southern","High"
"267","Barn South","Plot2",25,25,"High","Low"
"268","Barn South","Plot2",19,25,"High","High"
"269","Duck Lake","Plot2",39,25,"Midwest","High"
"270","Duck Lake","Plot2",40,25,"Midwest","Low"
"271","Field Lab","Plot2",33,25,"Local","High"
"272","Field Lab","Plot2",20,25,"Local","Low"
"273","No Till","Plot2",35,25,"Southern","High"
"274","No Till","Plot2",37,25,"Southern","Low"
"275","Pothole","Plot2",35,25,"High","High"
"276","Pothole","Plot2",32,25,"High","Low"
"277","Reed Canary","Plot2",47,25,"High","High"
"278","Reed Canary","Plot2",33,25,"High","Low"
"279","Soil Pit","Plot2",34,25,"Midwest","High"
"280","Soil Pit","Plot2",36,25,"Midwest","Low"
"281","Spruce Lodge","Plot2",30,25,"High","Low"
"282","Spruce Lodge","Plot2",35,25,"High","High"
"283","Succession","Plot2",52,25,"Local","High"
"284","Succession","Plot2",47,25,"Local","Low"
"285","Water Tower","Plot2",37,25,"High","Low"
"286","Water Tower","Plot2",33,25,"High","High"
"287","Wetland","Plot2",21,25,"High","High"
"288","Wetland","Plot2",36,25,"High","Low"
"289","Barn N","Plot3",26,25,"Southern","Low"
"290","Barn N","Plot3",17,25,"Southern","High"
"291","Barn South","Plot3",25,25,"High","Low"
"292","Barn South","Plot3",19,25,"High","High"
"293","Duck Lake","Plot3",39,25,"Midwest","High"
"294","Duck Lake","Plot3",40,25,"Midwest","Low"
"295","Field Lab","Plot3",33,25,"Local","High"
"296","Field Lab","Plot3",20,25,"Local","Low"
"297","No Till","Plot3",35,25,"Southern","High"
"298","No Till","Plot3",37,25,"Southern","Low"
"299","Pothole","Plot3",35,25,"High","High"
"300","Pothole","Plot3",32,25,"High","Low"
"301","Reed Canary","Plot3",47,25,"High","High"
"302","Reed Canary","Plot3",33,25,"High","Low"
"303","Soil Pit","Plot3",34,25,"Midwest","High"
"304","Soil Pit","Plot3",36,25,"Midwest","Low"
"305","Spruce Lodge","Plot3",30,25,"High","Low"
"306","Spruce Lodge","Plot3",35,25,"High","High"
"307","Succession","Plot3",52,25,"Local","High"
"308","Succession","Plot3",47,25,"Local","Low"
"309","Water Tower","Plot3",37,25,"High","Low"
"310","Water Tower","Plot3",33,25,"High","High"
"311","Wetland","Plot3",21,25,"High","High"
"312","Wetland","Plot3",36,25,"High","Low"
"313","Barn N","Plot4",26,25,"Southern","Low"
"314","Barn N","Plot4",17,25,"Southern","High"
"315","Barn South","Plot4",25,25,"High","Low"
"316","Barn South","Plot4",19,25,"High","High"
"317","Duck Lake","Plot4",39,25,"Midwest","High"
"318","Duck Lake","Plot4",40,25,"Midwest","Low"
"319","Field Lab","Plot4",33,25,"Local","High"
"320","Field Lab","Plot4",20,25,"Local","Low"
"321","No Till","Plot4",35,25,"Southern","High"
"322","No Till","Plot4",37,25,"Southern","Low"
"323","Pothole","Plot4",35,25,"High","High"
"324","Pothole","Plot4",32,25,"High","Low"
"325","Reed Canary","Plot4",47,25,"High","High"
"326","Reed Canary","Plot4",33,25,"High","Low"
"327","Soil Pit","Plot4",34,25,"Midwest","High"
"328","Soil Pit","Plot4",36,25,"Midwest","Low"
"329","Spruce Lodge","Plot4",30,25,"High","Low"
"330","Spruce Lodge","Plot4",35,25,"High","High"
"331","Succession","Plot4",52,25,"Local","High"
"332","Succession","Plot4",47,25,"Local","Low"
"333","Water Tower","Plot4",37,25,"High","Low"
"334","Water Tower","Plot4",33,25,"High","High"
"335","Wetland","Plot4",21,25,"High","High"
"336","Wetland","Plot4",36,25,"High","Low"
"337","Barn N","Plot5",26,25,"Southern","Low"
"338","Barn N","Plot5",17,25,"Southern","High"
"339","Barn South","Plot5",25,25,"High","Low"
"340","Barn South","Plot5",19,25,"High","High"
"341","Duck Lake","Plot5",39,25,"Midwest","High"
"342","Duck Lake","Plot5",40,25,"Midwest","Low"
"343","Field Lab","Plot5",33,25,"Local","High"
"344","Field Lab","Plot5",20,25,"Local","Low"
"345","No Till","Plot5",35,25,"Southern","High"
"346","No Till","Plot5",37,25,"Southern","Low"
"347","Pothole","Plot5",35,25,"High","High"
"348","Pothole","Plot5",32,25,"High","Low"
"349","Reed Canary","Plot5",47,25,"High","High"
"350","Reed Canary","Plot5",33,25,"High","Low"
"351","Soil Pit","Plot5",34,25,"Midwest","High"
"352","Soil Pit","Plot5",36,25,"Midwest","Low"
"353","Spruce Lodge","Plot5",30,25,"High","Low"
"354","Spruce Lodge","Plot5",35,25,"High","High"
"355","Succession","Plot5",52,25,"Local","High"
"356","Succession","Plot5",47,25,"Local","Low"
"357","Water Tower","Plot5",37,25,"High","Low"
"358","Water Tower","Plot5",33,25,"High","High"
"359","Wetland","Plot5",21,25,"High","High"
"360","Wetland","Plot5",36,25,"High","Low"
"361","Barn N","Plot1",46,2752,"Southern","Low"
"362","Barn N","Plot1",53,2752,"Southern","High"
"363","Barn South","Plot1",49,1538,"High","Low"
"364","Barn South","Plot1",45,1376,"High","High"
"365","Duck Lake","Plot1",88,4047,"Midwest","High"
"366","Duck Lake","Plot1",65,1619,"Midwest","Low"
"367","Field Lab","Plot1",71,5706,"Local","High"
"368","Field Lab","Plot1",48,5908,"Local","Low"
"369","No Till","Plot1",67,10927,"Southern","High"
"370","No Till","Plot1",64,10643,"Southern","Low"
"371","Pothole","Plot1",61,5180,"High","High"
"372","Pothole","Plot1",67,4452,"High","Low"
"373","Reed Canary","Plot1",71,2428,"High","High"
"374","Reed Canary","Plot1",57,2428,"High","Low"
"375","Soil Pit","Plot1",47,2833,"Midwest","High"
"376","Soil Pit","Plot1",57,4087,"Midwest","Low"
"377","Spruce Lodge","Plot1",53,2469,"High","Low"
